stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,nom_arrondissement_communes,code_insee_commune,longitude,latitude
17203,Place de la Porte de Champeret,False,0,0,0,0,0,False,False,2023-07-25 10:08:24+00:00,Paris,,2.2917001576821,48.886062068226
20120,Evariste Galois,False,0,0,0,0,0,False,False,2023-06-15 14:09:38+00:00,Paris,,2.4133380129933,48.873087537345
16201,Porte Dauphine,False,0,0,0,0,0,False,False,2023-07-28 16:29:09+00:00,Paris,,2.2749781616017,48.871139344351
5201,Saint-Jacques - Soufflot,False,0,0,0,0,0,False,False,2023-08-23 07:46:22+00:00,Paris,,2.3430785379567,48.846280383395
26010,Louis Armand - Bernard Palissy,False,0,0,0,0,0,False,False,2023-01-25 14:17:38+00:00,Asnieres-sur-Seine,,2.3124207955211,48.916925546419
21320,Président Roosevelt - Rouget de Lisle,False,40,40,0,0,0,False,False,2023-11-30 13:48:47+00:00,Issy-les-Moulineaux,,2.2616135525345,48.83047518749
8001,Petit Palais,False,46,46,0,0,0,False,False,2023-11-30 13:45:09+00:00,Paris,,2.3157655,48.8667692
17201,Porte Maillot - Perreire,False,0,0,0,0,0,False,False,2023-09-11 14:39:27+00:00,Paris,,2.2842371277102,48.878021154637
19204,Rampal - Belleville,False,0,0,0,0,0,False,False,2023-09-19 08:41:41+00:00,Paris,,2.3798409114805,48.873114661405
12203,Rue des Jardiniers - Charenton,False,0,0,0,0,0,False,False,2023-07-14 18:07:59+00:00,Paris,,2.3947995949608,48.833824792117
13202,Place Farhat Hached,False,0,0,0,0,0,False,False,2023-04-19 11:39:18+00:00,Paris,,2.3819742271533,48.825806194537
8202,Londres - Europe,False,27,23,3,2,1,False,False,2023-11-30 13:51:21+00:00,Paris,,2.3248164693922,48.878618556803
47007,Liberté - Vert-de-Maisons,True,20,20,0,0,0,False,False,2023-09-16 03:55:03+00:00,Maisons-Alfort,,2.4328628182411,48.790147809608
23011,Bineau - Louise Michel,True,0,0,0,0,0,False,False,2023-07-06 03:40:13+00:00,Levallois-Perret,,2.2843274474144,48.88666162207
13122,Parc de Choisy,True,0,0,0,0,0,False,False,2023-07-06 11:31:12+00:00,Paris,,2.3585135329033,48.828156251575
33104,Square Edmond Pépin,True,0,0,0,0,0,False,False,2023-09-16 16:20:20+00:00,Le Pre-Saint-Gervais,,2.4033531546593,48.883656206899
9101,Cadet - La Fayette,True,0,0,0,0,0,False,False,2023-11-30 13:49:29+00:00,Paris,,2.3435704037547,48.875601632672
21213,Vanne - Général de Gaulle,True,25,25,0,0,0,False,False,2023-09-15 00:12:14+00:00,Montrouge,,2.328318,48.815007
17033,Carnot - Général Lanrezac,True,30,30,0,0,0,False,False,2018-05-21 05:30:29+00:00,Paris,,2.2938242935036,48.875443870736
22008,Charles de Gaulle - Graviers,True,0,0,0,0,0,False,False,2022-12-05 05:50:36+00:00,Neuilly-sur-Seine,,2.2648814320564,48.883151759186
8116,Champs-Elysees - Bassano,True,25,25,0,0,0,False,False,2021-02-21 19:09:18+00:00,Paris,,2.300238981843,48.871811807816
9037,Parme - Clichy,True,24,24,0,0,0,False,False,2023-10-01 22:05:20+00:00,Paris,,2.328197093450571,48.88126642422664
4017,Place de l'Hôtel de Ville,True,14,14,0,0,0,False,False,2023-11-30 13:42:24+00:00,Paris,,2.351458,48.8573314
14134,Château - Place de Catalogne,True,33,0,0,0,0,False,False,2023-11-30 13:47:20+00:00,Paris,,2.3185293003917,48.836805542262
2009,Filles Saint-Thomas - Place de la Bourse,True,58,58,0,0,0,False,False,2018-04-11 05:39:29+00:00,Paris,,2.3397543845203,48.868899890853
48007,Parc Départemental des Hautes-Bruyères,True,30,30,0,0,0,False,False,2023-10-11 00:00:00+00:00,Villejuif,,2.3509012162685394,48.793457901398945
19118,Simon Bolivar - Henri Turot,True,0,0,0,0,0,False,False,2023-09-24 02:44:58+00:00,Paris,,2.374454,48.876887
18010,Riquet - Marx Dormoy,True,29,29,0,0,0,False,False,2023-08-08 15:42:30+00:00,Paris,,2.3601756244898,48.89021003702
18134,Ney - Porte de Clignancourt,True,25,25,0,0,0,False,False,2023-11-30 13:49:35+00:00,Paris,,2.3458001,48.8978867
18031,Place Albert Kahn,True,0,0,0,0,0,False,False,2023-07-03 08:59:24+00:00,Paris,,2.3455855841349,48.89579697978
20121,Boyer - Ménilmontant,True,19,0,0,0,0,False,False,2018-05-21 05:59:45+00:00,Paris,,2.3919824145635,48.868895162679
13104,Gare d'Austerlitz - Quai Saint-Bernard,True,27,27,0,0,0,False,False,2022-01-18 21:07:57+00:00,Paris,,2.3657163977623,48.84369030864
22009,Charles de Gaulle - Orléans,True,0,0,0,0,0,False,False,2018-07-24 05:33:35+00:00,Neuilly-sur-Seine,,2.271581590175629,48.88092225101522
13021,Boussingault - Tolbiac,True,28,28,0,0,0,False,False,2023-10-29 23:38:55+00:00,Paris,,2.3421768080043,48.826035166059
21501,Pont de Suresnes,True,24,24,0,0,0,False,False,2018-12-21 14:18:50+00:00,Suresnes,,2.2258946679617,48.867415092322
13035,Choisy - Tolbiac,True,26,16,0,0,0,False,False,2023-11-29 12:09:17+00:00,Paris,,2.3602393269539,48.82591155587
14103,Maine - Liancourt,True,27,25,0,0,0,False,False,2023-11-30 13:44:58+00:00,Paris,,2.323731449974,48.835064363954
18136,Poulet - Barbès,True,0,0,0,0,0,False,False,2019-03-20 14:46:36+00:00,Paris,,2.349064,48.887148
27001,Square Victor Basch,True,20,20,0,0,0,False,False,2023-06-30 17:33:37+00:00,Colombes,,2.2289156913757,48.914304862261
19119,Edouard Pailleron - Bouret,True,27,27,0,0,0,False,False,2023-11-21 09:13:21+00:00,Paris,,2.3769494891167,48.880597694071
20110,Gambetta - Tourelles,True,20,0,0,0,0,False,False,2023-04-05 09:51:12+00:00,Paris,,2.4059921130538,48.875337902264
30007,Pablo Picasso - Maurice Thorez,True,0,0,0,0,0,False,False,2023-11-30 13:47:27+00:00,Bobigny,,2.4489325365198,48.906887812943
44010,8 Mai 1945 - 10 Juillet 1940,True,30,30,0,0,0,False,False,2023-11-05 08:56:42+00:00,Vitry-sur-Seine,,2.3979035764933,48.784567029674
44015,Rouget de L'isle - Watteau,True,20,16,3,1,2,True,True,2023-11-30 13:45:25+00:00,Vitry-sur-Seine,,2.3963020229163,48.778192750803
9020,Toudouze - Clauzel,True,21,18,3,0,3,True,True,2023-11-30 13:50:46+00:00,Paris,,2.3373600840568547,48.87929591733507
14014,Jourdan - Stade Charléty,True,60,49,9,4,5,True,True,2023-11-30 13:50:56+00:00,Paris,,2.3433353751898,48.819428333369
11104,Charonne - Robert et Sonia Delaunay,True,20,18,2,1,1,True,True,2023-11-30 13:50:55+00:00,Paris,,2.3925706744194,48.855907555969
8026,Messine - Place Du Pérou,True,12,1,11,7,4,True,True,2023-11-30 13:49:15+00:00,Paris,,2.315508019010038,48.875448033960744
13007,Le Brun - Gobelins,True,48,40,3,1,2,True,True,2023-11-30 13:51:34+00:00,Paris,,2.3534681351338,48.835092787824
7002,Vaneau - Sèvres,True,35,21,11,7,4,True,True,2023-11-30 13:51:59+00:00,Paris,,2.3204218259346,48.848563233059
5110,Lacépède - Monge,True,23,12,11,5,6,True,True,2023-11-30 13:49:21+00:00,Paris,,2.3519663885235786,48.84389286531899
6108,Saint-Romain - Cherche-Midi,True,17,9,7,6,1,True,True,2023-11-30 13:48:59+00:00,Paris,,2.321374788880348,48.84708159081946
42016,Pierre et Marie Curie - Maurice Thorez,True,27,24,3,1,2,True,True,2023-11-30 13:48:39+00:00,Ivry-sur-Seine,,2.376804985105991,48.81580226360801
41301,Bois de Vincennes - Gare,True,50,49,1,0,1,True,True,2023-11-30 13:48:39+00:00,Nogent-sur-Marne,,2.4708339950830287,48.836022242886884
6021,Beaux-Arts - Bonaparte,True,20,1,17,4,13,True,True,2023-11-30 13:47:52+00:00,Paris,,2.334851883351803,48.856451985395786
25006,Place Nelson Mandela,True,22,15,6,1,5,True,True,2023-11-30 13:44:22+00:00,Rueil-Malmaison,,2.1961666225454,48.862453313908
30002,Jean Rostand - Paul Vaillant Couturier,True,40,31,8,5,3,True,True,2023-11-30 13:50:47+00:00,Bobigny,,2.4530601033354,48.908168131015
17038,Grande Armée - Brunel,True,62,41,20,1,19,True,True,2023-11-30 13:51:52+00:00,Paris,,2.288124,48.876116
7003,Square Boucicaut,True,60,11,46,22,24,True,True,2023-11-30 13:51:18+00:00,Paris,,2.325061820447445,48.851296433665276
17026,Jouffroy d'Abbans - Wagram,True,40,28,9,4,5,True,True,2023-11-30 13:48:53+00:00,Paris,,2.301132157445,48.881973298352
15047,Morillons - Dantzig,True,52,51,1,0,1,True,True,2023-11-30 13:49:02+00:00,Paris,,2.299380004405976,48.83310149953933
13101,Croulebarde - Corvisart,True,34,22,11,7,4,True,True,2023-11-30 13:50:54+00:00,Paris,,2.3481646925210953,48.830981659316855
15026,Bir Hakeim,True,33,13,19,14,5,True,True,2023-11-30 13:50:23+00:00,Paris,,2.289705348222022,48.853844054333514
17025,Chazelles - Courcelles,True,35,18,12,7,5,True,True,2023-11-30 13:49:26+00:00,Paris,,2.3034455627202988,48.879406604954
21326,Moulin de Pierre - Abbé Grégoire,True,20,19,1,0,1,True,True,2023-11-30 13:50:31+00:00,Issy-les-Moulineaux,,2.2754641655975,48.822036188382
16138,Saint-Cloud - Hippodrome,True,30,18,6,4,2,True,True,2023-11-30 13:45:50+00:00,Paris,,2.2549109905958176,48.85772148887421
21216,Louis Lejeune - Barbès,True,25,21,4,4,0,True,True,2023-11-30 13:51:48+00:00,Montrouge,,2.3267009854316716,48.81807418981508
15068,Général Martial Valin - Pont du Garigliano,True,16,9,7,3,4,True,True,2023-11-30 13:49:31+00:00,Paris,,2.270506024360657,48.83823094269141
7004,Raspail - Varenne,True,18,2,15,11,4,True,True,2023-11-30 13:51:54+00:00,Paris,,2.3263905197382,48.853147816545
92002,Théâtre des Amandiers - Palais des sports,True,23,7,16,4,12,True,True,2023-11-30 13:52:14+00:00,Nanterre,,2.2136941552162,48.892648526839
19027,Serrurier,True,18,18,0,0,0,True,True,2023-11-30 13:44:39+00:00,Paris,,2.39806417375803,48.8804934032465
44017,Jules Guesde - Pont du Port à l'Anglais,True,30,5,25,18,7,True,True,2023-11-30 13:50:19+00:00,Vitry-sur-Seine,,2.417212128639221,48.79628807093802
10013,Alibert - Jemmapes,True,60,49,9,4,5,True,True,2023-11-30 13:52:12+00:00,Paris,,2.3661044619878,48.871044051984
2017,Caire - Dussoubs,True,40,33,7,2,5,True,True,2023-11-30 13:51:37+00:00,Paris,,2.349364310503006,48.86785342111862
9008,Tour d'Auvergne - Rodier,True,17,17,0,0,0,True,True,2023-11-30 13:50:56+00:00,Paris,,2.343698,48.879161
8048,Marceau - Chaillot,True,21,0,18,12,6,True,True,2023-11-30 13:48:49+00:00,Paris,,2.2986030816809,48.868834023334
14013,Liard - Amiral Mouchez,True,14,8,5,4,1,True,True,2023-11-30 13:52:02+00:00,Paris,,2.342167,48.8214169
9002,Abbeville - Faubourg Poissonnière,True,14,11,2,0,2,True,True,2023-11-30 13:42:28+00:00,Paris,,2.349147,48.879223
48003,Youri Gagarine - Karl Marx,True,22,19,2,0,2,True,True,2023-11-30 13:50:09+00:00,Villejuif,,2.35908430069685,48.78448485079149
16110,Octave Feuillet - Albéric Magnard,True,21,11,9,1,8,True,True,2023-11-30 13:52:04+00:00,Paris,,2.2730283066630363,48.86106902949534
14002,Edgar Quinet - Raspail,True,46,37,8,1,7,True,True,2023-11-30 13:51:58+00:00,Paris,,2.32971478253603,48.83940266673835
8053,Place Georges Guillaumin,True,29,4,23,4,19,True,True,2023-11-30 13:51:53+00:00,Paris,,2.301771435325988,48.874750203956566
9001,Bellefond - Poissonnière,True,17,15,1,0,1,True,True,2023-11-30 13:50:31+00:00,Paris,,2.348463758826256,48.87759897050706
17032,Jean Oestreicher - Porte de Champerret,True,21,10,11,7,4,True,True,2023-11-30 13:51:47+00:00,Paris,,2.288640439510346,48.88655580065981
10162,Alexandre Parodi - Quai de Valmy,True,24,20,3,2,1,True,True,2023-11-30 13:46:34+00:00,Paris,,2.366596162319184,48.87935941942529
10115,Granges aux Belles,True,27,19,6,2,4,True,True,2023-11-30 13:44:27+00:00,Paris,,2.3680844979417,48.8761373390584
5005,Gay Lussac - Saint-Jacques,True,24,14,7,0,7,True,True,2023-11-30 13:51:41+00:00,Paris,,2.341923944866407,48.844730256132095
10161,Gare de l'Est - Faubourg-Saint-Martin,True,32,30,0,0,0,True,True,2023-11-30 13:50:49+00:00,Paris,,2.3594588041306,48.875642647477
12031,Gabriel Lamé,True,36,0,34,24,10,True,True,2023-11-30 13:50:29+00:00,Paris,,2.385534569621086,48.8351212784276
7011,Las Cases - Bourgogne,True,22,3,19,16,3,True,True,2023-11-30 13:51:07+00:00,Paris,,2.3185685276985,48.859091104741
5022,Boulangers - Cardinal Lemoine,True,20,9,11,6,5,True,True,2023-11-30 13:52:12+00:00,Paris,,2.3521495,48.8462904
9106,Boudreau - Auber,True,14,5,8,7,1,True,True,2023-11-30 13:47:04+00:00,Paris,,2.329423,48.87219
21328,Verger - Colonel Guichard,True,29,29,0,0,0,True,True,2023-11-30 13:44:15+00:00,Issy-les-Moulineaux,,2.2670380088932,48.816376985087
21323,Charlot - Stade Gabriel Voisin,True,31,0,31,28,3,True,True,2023-11-30 13:52:12+00:00,Issy-les-Moulineaux,,2.268122527474,48.827228120536
9038,Douai - Bruxelles,True,27,25,2,0,2,True,True,2023-11-30 13:44:13+00:00,Paris,,2.3308449949028507,48.88320784122797
31103,Gare Rosny-Bois-Perrier,True,36,19,15,3,12,True,True,2023-11-30 13:47:43+00:00,Rosny-sous-Bois,,2.480436824262142,48.88115023337061
15112,Vigée-Lebrun - Anselme Payen,True,24,23,1,0,1,True,True,2023-11-30 13:49:42+00:00,Paris,,2.3110422492027287,48.838683941628375
6001,Institut de France,True,17,0,16,11,5,True,True,2023-11-30 13:51:25+00:00,Paris,,2.3358313530377,48.857615678565
22409,Henri Barbusse - Stalingrad,True,16,13,2,1,1,True,True,2023-11-30 13:49:59+00:00,Malakoff,,2.2872862592339516,48.814183748660554
19015,Thionville - Ourcq,True,24,18,6,5,1,True,True,2023-11-30 13:45:20+00:00,Paris,,2.3833653330802917,48.88917613743794
